Date,Adj Close,Close,High,Low,Open,Volume
2025-07-23,82726.640625,82726.640625,82786.4296875,82279.7265625,82451.8671875,10100
2025-07-24,82184.171875,82184.171875,82784.2421875,82047.21875,82779.953125,14000
2025-07-25,81463.09375,81463.09375,82069.5078125,81397.6875,82065.7578125,10000
2025-07-28,80891.0234375,80891.0234375,81557.40625,80776.4375,81299.96875,5100
2025-07-29,81337.953125,81337.953125,81429.8828125,80575.453125,80620.25,12300
2025-07-30,81481.859375,81481.859375,81618.9609375,81187.0625,81594.5234375,7200
2025-07-31,81185.578125,81185.578125,81803.2734375,80695.1484375,80695.5,9700
2025-08-01,80599.90625,80599.90625,81317.5078125,80495.5703125,81074.40625,14700
2025-08-04,81018.71875,81018.71875,81093.1875,80500.5078125,80765.828125,9900
2025-08-05,80710.25,80710.25,81010.4921875,80554.3984375,80946.4296875,10900
2025-08-06,80543.9921875,80543.9921875,80834.4296875,80448.8203125,80694.9765625,5300
2025-08-07,80623.2578125,80623.2578125,80737.546875,79811.2890625,80262.9765625,37500
2025-08-08,79857.7890625,79857.7890625,80550.3984375,79775.84375,80478.0078125,23200
2025-08-11,80604.078125,80604.078125,80636.046875,79772.4609375,79885.359375,8600
2025-08-12,80235.59375,80235.59375,80997.671875,80164.359375,80508.5078125,10300
2025-08-13,80539.90625,80539.90625,80683.7421875,80319.0,80492.171875,12300
2025-08-14,80597.65625,80597.65625,80751.1796875,80489.859375,80625.28125,7200
2025-08-18,81273.75,81273.75,81765.7734375,81202.421875,81315.7890625,19300
2025-08-19,81644.390625,81644.390625,81755.8828125,81315.4375,81319.109375,10900
2025-08-20,81857.84375,81857.84375,81985.6171875,81494.5,81671.46875,9400
2025-08-21,82000.7109375,82000.7109375,82231.171875,81921.21875,82220.4609375,10100
2025-08-22,81306.8515625,81306.8515625,81993.609375,81291.7734375,81951.4765625,6700
2025-08-25,81635.90625,81635.90625,81799.0625,81364.859375,81501.0625,9700
2025-08-26,80786.5390625,80786.5390625,81450.28125,80685.9765625,81377.390625,20500
2025-08-28,80080.5703125,80080.5703125,80775.7109375,80013.0234375,80754.65625,7800
2025-08-29,79809.6484375,79809.6484375,80310.7421875,79741.7578125,80010.828125,12500
2025-09-01,80364.4921875,80364.4921875,80406.84375,79818.3828125,79828.9921875,6000
2025-09-02,80157.8828125,80157.8828125,80761.140625,80008.5,80520.09375,8200
2025-09-03,80567.7109375,80567.7109375,80671.28125,80004.6015625,80295.9921875,17100
2025-09-04,80718.0078125,80718.0078125,81456.671875,80608.9375,81456.671875,17000
2025-09-05,80710.7578125,80710.7578125,81036.5625,80321.1875,81012.421875,8200
2025-09-08,80787.296875,80787.296875,81171.3828125,80733.0703125,80904.3984375,8700
2025-09-09,81101.3203125,81101.3203125,81181.3671875,80927.96875,81129.6875,6300
2025-09-10,81425.1484375,81425.1484375,81643.8828125,81235.421875,81504.359375,11800
2025-09-11,81548.7265625,81548.7265625,81642.21875,81216.90625,81217.296875,13500
2025-09-12,81904.703125,81904.703125,81992.8515625,81641.3828125,81758.953125,11100
2025-09-15,81785.7421875,81785.7421875,81998.5078125,81744.703125,81925.5078125,10500
2025-09-16,82380.6875,82380.6875,82443.4765625,81779.9375,81852.109375,8200
2025-09-17,82693.7109375,82693.7109375,82741.953125,82490.46875,82506.3984375,14600
2025-09-18,83013.9609375,83013.9609375,83141.2109375,82704.921875,83108.921875,14600
2025-09-19,82626.2265625,82626.2265625,82978.6328125,82485.921875,82946.0390625,9700
2025-09-22,82159.96875,82159.96875,82583.15625,81997.2890625,82151.0703125,10300
2025-09-23,82102.1015625,82102.1015625,82370.3828125,81776.53125,82147.3671875,9300
2025-09-24,81715.6328125,81715.6328125,82045.46875,81607.84375,81917.6484375,15100
2025-09-25,81159.6796875,81159.6796875,81840.7265625,81092.890625,81574.3125,14800
2025-09-26,80426.4609375,80426.4609375,81033.09375,80332.40625,80956.0078125,10700
2025-09-29,80364.9375,80364.9375,80851.3828125,80248.84375,80588.7734375,8600
2025-09-30,80267.6171875,80267.6171875,80677.8203125,80201.1484375,80541.7734375,7100
2025-10-01,80983.3125,80983.3125,81068.4296875,80159.8984375,80173.2421875,22300
2025-10-03,81207.171875,81207.171875,81251.9921875,80649.5703125,80684.140625,13600
2025-10-06,81790.1171875,81790.1171875,81846.421875,81155.8828125,81274.7890625,8800
2025-10-07,81926.75,81926.75,82309.5625,81787.4765625,81883.953125,13900
2025-10-08,81773.65625,81773.65625,82257.7421875,81646.078125,81899.5078125,15200
2025-10-09,82172.1015625,82172.1015625,82247.7265625,81667.6796875,81900.0,23200
2025-10-10,82500.8203125,82500.8203125,82654.109375,82072.9296875,82075.453125,13700
2025-10-13,82327.046875,82327.046875,82438.5,82043.140625,82049.15625,9000
2025-10-14,82029.9765625,82029.9765625,82573.3671875,81781.6171875,82404.5390625,12600
2025-10-15,82605.4296875,82605.4296875,82727.0234375,82084.3671875,82197.25,10600
2025-10-16,83467.65625,83467.65625,83615.4765625,82791.3515625,82794.7890625,27400
2025-10-17,83952.1875,83952.1875,84172.2421875,83206.078125,83331.78125,14300
2025-10-20,84363.3671875,84363.3671875,84656.5625,84196.7890625,84269.296875,10900
2025-10-21,84426.34375,84426.34375,84665.4375,84286.3984375,84484.671875,3400
2025-10-23,84556.3984375,84556.3984375,85290.0625,84445.25,85154.1484375,25700
2025-10-24,84211.8828125,84211.8828125,84707.4375,83957.1484375,84667.2265625,13600
2025-10-27,84778.84375,84778.84375,84932.078125,84294.203125,84297.390625,12000
2025-10-28,84628.15625,84628.15625,84986.9375,84219.390625,84625.7109375,12900
2025-10-29,84997.1328125,84997.1328125,85105.828125,84638.6796875,84663.6796875,13600
2025-10-30,84404.4609375,84404.4609375,84906.953125,84312.6484375,84750.8984375,14200
2025-10-31,83938.7109375,83938.7109375,84712.7890625,83905.65625,84379.7890625,13300
2025-11-03,83978.4921875,83978.4921875,84127.0,83609.5390625,83835.1015625,1300
